Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error,_l2_gmaps_url,_l2_gmaps_error,_l2_homepage_title,_l2_homepage_description,_l2_homepage_emails,_l2_homepage_phones,_l2_homepage_linkedin,_l2_homepage_facebook,_l2_homepage_twitter,_l2_homepage_instagram,_l2_homepage_youtube,_l2_homepage_github,_l2_homepage_contact_url,_l2_homepage_about_url,_l2_homepage_careers_url,_l2_homepage_blog_url,_l2_homepage_tech_stack,_l2_homepage_founded_year,_l2_homepage_employee_count,_l2_homepage_headquarters,_l2_homepage_error,_l2_enriched_at,_firmographic_query,_firmographic_sources,_firmographic_errors,legal_name,registration_number,jurisdiction,incorporation_date,company_status,company_type,official_website,industry,sic_code,employee_count,headquarters,officers
Sreenidhi Estates India Pvt. Ltd.,Jubilee Hills,real estate agencies,https://www.google.com/maps/place/Sreenidhi+Estates+India+Pvt.+Ltd./data=!4m7!3m6!1s0x3bcb93f8d2a4f859:0xc1617469a5eec5d8!8m2!3d17.4266586!4d78.4064719!16s%2Fg%2F11f2rm36dv!19sChIJWfik0viTyzsR2MXupWl0YcE?authuser=0&hl=en&rclk=1,"CCG4+MH9, Road No. 45 Jubilee Hills, Nandagiri Hills, Jubilee Hills, Hyderabad, Telangana 500033",074678 96789,,3.9,11,"CCG4+MH9, Road No. 45 Jubilee Hills, Nandagiri Hills, Jubilee Hills, Hyderabad, Telangana 500033",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Sreenidhi Estates India Pvt. Ltd.,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Sreenidhi+Estates+India+Pvt.+Ltd.&per_page=5,,,,,,,,,,,,
Land Bank Realtors,Jubilee Hills,real estate agencies,https://www.google.com/maps/place/Land+Bank+Realtors/data=!4m7!3m6!1s0x3bcb911632f11cc9:0x40bf105d46d6e53b!8m2!3d17.4285133!4d78.4158231!16s%2Fg%2F11rgfzdq27!19sChIJyRzxMhaRyzsRO-XWRl0Qv0A?authuser=0&hl=en&rclk=1,"17/A, Road No. 1, Jawahar Colony, Jubilee Hills, Hyderabad, Telangana 500033",,,5.0,1,"CCH8+C8 Hyderabad, Telangana",,,https://www.google.com/maps/place/Land+Bank+Realtors/data=!4m7!3m6!1s0x3bcb911632f11cc9:0x40bf105d46d6e53b!8m2!3d17.4285133!4d78.4158231!16s%2Fg%2F11rgfzdq27!19sChIJyRzxMhaRyzsRO-XWRl0Qv0A?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Land Bank Realtors,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Land+Bank+Realtors&per_page=5,,,,,,,,,,,,
9toTHRIVE,Jubilee Hills,coworking space,https://www.google.com/maps/place/9toTHRIVE/data=!4m7!3m6!1s0x3bcb91cb00d00547:0x9d6f9058d1fba05e!8m2!3d17.439017!4d78.386444!16s%2Fg%2F11z51sq74h!19sChIJRwXQAMuRyzsRXqD70ViQb50?authuser=0&hl=en&rclk=1,"Sy. No. 31 to 36, 1-89/B/36, Plot no. 28, Vittal Rao Nagar, Madhapur, Hyderabad, Telangana 500081",091213 23999,,5.0,5,"C9QP+JH Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,9toTHRIVE,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=9toTHRIVE&per_page=5,,,,,,,,,,,,
CoKarma - Coworking Space,Jubilee Hills,coworking space,https://www.google.com/maps/place/CoKarma+-+Coworking+Space/data=!4m7!3m6!1s0x3bcb9165f2bd85c1:0xa8e3d2b3307aaa0c!8m2!3d17.4387396!4d78.396928!16s%2Fg%2F11tdbjq90j!19sChIJwYW98mWRyzsRDKp6MLPS46g?authuser=0&hl=en&rclk=1,"Mahaveer Radiance, 1st floor Opp: Metro Pillar number 1708 Madhapur, Road No. 36, Jubilee Hills, Telangana 500033",093461 41099,,4.8,89,"C9QW+FQ Jubilee Hills, Hyderabad, Telangana",,,https://www.google.com/maps/place/CoKarma+-+Coworking+Space/data=!4m7!3m6!1s0x3bcb9165f2bd85c1:0xa8e3d2b3307aaa0c!8m2!3d17.4387396!4d78.396928!16s%2Fg%2F11tdbjq90j!19sChIJwYW98mWRyzsRDKp6MLPS46g?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,CoKarma - Coworking Space,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=CoKarma+-+Coworking+Space&per_page=5,,,,,,,,,,,,
Cowork Valley - Kavuri Hills,Jubilee Hills,coworking space,https://www.google.com/maps/place/Cowork+Valley+-+Kavuri+Hills/data=!4m7!3m6!1s0x3bcb91daab86efc7:0x4c1c725f1834bcad!8m2!3d17.4359679!4d78.3943981!16s%2Fg%2F11fm6sy674!19sChIJx--Gq9qRyzsRrbw0GF9yHEw?authuser=0&hl=en&rclk=1,"#3-225 & 226, 3rd Floor, Cowork Valley, MMS Divya Diamonds Junction, Kavuri Hills Phase 2 Rd, Hyderabad, Telangana 500033",073374 43838,,4.7,116,"C9PV+9Q Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Cowork Valley - Kavuri Hills,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Cowork+Valley+-+Kavuri+Hills&per_page=5,,,,,,,,,,,,
CoworkZone,Jubilee Hills,coworking space,https://www.google.com/maps/place/CoworkZone/data=!4m7!3m6!1s0x3bcb96d78012b4fd:0x93ff0ec957c1fc47!8m2!3d17.4412976!4d78.3980202!16s%2Fg%2F1q62grs_v!19sChIJ_bQSgNeWyzsRR_zBV8kO_5M?authuser=0&hl=en&rclk=1,"4th Floor, Plot No:63, Before Anagha Prime, Kavuri Hills Phase 1, Madhapur, HITEC City, Hyderabad, Telangana 500033",093910 35140,,4.4,99,"C9RX+G6 Hyderabad, Telangana",· Closes 4:30 am · Reopens 9 am; Tuesday 9 am–4:30 am; Wednesday 9 am–4:30 am; Thursday 9 am–4:30 am; Friday 9 am–4:30 am; Saturday 9 am–4:30 am; Monday 9 am–4:30 am,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,CoworkZone,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=CoworkZone&per_page=5,,,,,,,,,,,,
Cowork Anytime,Jubilee Hills,coworking space,https://www.google.com/maps/place/Cowork+Anytime/data=!4m7!3m6!1s0x3bcb91c9823bc1d9:0x6ad0ecc7fe28985b!8m2!3d17.436873!4d78.396354!16s%2Fg%2F11fm_3wdn4!19sChIJ2cE7gsmRyzsRW5go_sfs0Go?authuser=0&hl=en&rclk=1,"Flat no 101, Tirumala Mansion, door no: 1, 63/120, Kavuri Hills, Jubilee Hills, Hyderabad, Telangana 500033",091776 29432,,5.0,6,"C9PW+PG Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Cowork Anytime,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Cowork+Anytime&per_page=5,,,,,,,,,,,,
Nexus Co-Working Space - Film Nagar,Jubilee Hills,coworking space,https://www.google.com/maps/place/Nexus+Co-Working+Space+-+Film+Nagar/data=!4m7!3m6!1s0x3bcb97a0481262af:0x4c282a93cceabf0d!8m2!3d17.4284646!4d78.4138596!16s%2Fg%2F11h07y9yz3!19sChIJr2ISSKCXyzsRDb_qzJMqKEw?authuser=0&hl=en&rclk=1,"S4 Empire Square, Road No 36, Jubilee Hills, Checkpost, Metro, Hyderabad, Telangana 500033",096666 96086,,4.4,67,"CCH7+9G Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Nexus Co-Working Space - Film Nagar,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Nexus+Co-Working+Space+-+Film+Nagar&per_page=5,,,,,,,,,,,,
The Headquarters Space | 24 7 coworking space,Jubilee Hills,coworking space,https://www.google.com/maps/place/The+Headquarters+Space+%7C+24+7+coworking+space/data=!4m7!3m6!1s0x3bcb91506bf2f5d7:0x75c07f4e13855537!8m2!3d17.4354885!4d78.3954104!16s%2Fg%2F11ks6m1xq6!19sChIJ1_Xya1CRyzsRN1WFE05_wHU?authuser=0&hl=en&rclk=1,"Plot No 131, Dwaraka Icon Kavuri Hills Road, Hitech City Rd, CBI Colony, Hyderabad, Telangana 500033",094904 14411,,5.0,2,"C9PW+55 Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,The Headquarters Space | 24 7 coworking space,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=The+Headquarters+Space+%7C+24+7+coworking+space&per_page=5,,,,,,,,,,,,
Dwaraka Icon - Best Plug and Play Office Space in Hitech City,Jubilee Hills,coworking space,https://www.google.com/maps/place/Dwaraka+Icon+-+Best+Plug+and+Play+Office+Space+in+Hitech+City/data=!4m7!3m6!1s0x3bcb915fc583e2b1:0x9620395ce48fd612!8m2!3d17.4355506!4d78.3954431!16s%2Fg%2F11g08z5p47!19sChIJseKDxV-RyzsREtaP5Fw5IJY?authuser=0&hl=en&rclk=1,"Plot no. 131, Kavuri Hills Rd, CBI Colony, HITEC City, Hyderabad, Telangana 500033",097049 83995,,4.3,155,"C9PW+65 Hyderabad, Telangana",· Opens 9:30 am,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Dwaraka Icon - Best Plug and Play Office Space in Hitech City,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Dwaraka+Icon+-+Best+Plug+and+Play+Office+Space+in+Hitech+City&per_page=5,,,,,,,,,,,,
C Space HQ,Jubilee Hills,coworking space,https://www.google.com/maps/place/C+Space+HQ/data=!4m7!3m6!1s0x3bcb917d700bf0cf:0x4a9cdba0858c675e!8m2!3d17.4349973!4d78.3985562!16s%2Fg%2F11h3l3nqbz!19sChIJz_ALcH2RyzsRXmeMhaDbnEo?authuser=0&hl=en&rclk=1,"4th Floor, Plot No, C9MX+X93 Block 2, 770, Rd Number 44, nearby State Art Gallery, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",087667 74769,,4.0,148,,· Opens 9:30 am; Wednesday 9:30 am–7 pm; Thursday 9:30 am–7 pm; Friday 9:30 am–7 pm; Saturday 9:30 am–7 pm; Monday 9:30 am–7 pm; Tuesday 9:30 am–7 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,C Space HQ,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=C+Space+HQ&per_page=5,,,,,,,,,,,,
"CS Coworking Spaces - Shaikpet - I(Aparna) | Virtual Office, Private Cabins & Open Desk - 24*7 Access",Jubilee Hills,coworking space,"https://www.google.com/maps/place/CS+Coworking+Spaces+-+Shaikpet+-+I%28Aparna%29+%7C+Virtual+Office,+Private+Cabins+%26+Open+Desk+-+24*7+Access/data=!4m7!3m6!1s0x3bcb9766e991d61b:0xe4ff0f9d19418c17!8m2!3d17.4083379!4d78.4009389!16s%2Fg%2F11fjz9ny9z!19sChIJG9aR6WaXyzsRF4xBGZ0P_-Q?authuser=0&hl=en&rclk=1","4th Floor, Aparna Astute Jubilee Hills, Shaikpet, Hyderabad, Telangana 500096",098490 19209,,4.6,183,"CC52+89 Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,"CS Coworking Spaces - Shaikpet - I(Aparna) | Virtual Office, Private Cabins & Open Desk - 24*7 Access",,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=CS+Coworking+Spaces+-+Shaikpet+-+I%28Aparna%29+%7C+Virtual+Office%2C+Private+Cabins+%26+Open+Desk+-+24%2A7+Access&per_page=5,,,,,,,,,,,,
WorkOPlace,Jubilee Hills,coworking space,https://www.google.com/maps/place/WorkOPlace/data=!4m7!3m6!1s0x3bcb9191cef9788d:0x7bf108b07f7936d3!8m2!3d17.4352924!4d78.3836894!16s%2Fg%2F11j7yzk6gt!19sChIJjXj5zpGRyzsR0zZ5f7AI8Xs?authuser=0&hl=en&rclk=1,"Inorbit Mall Rd, Software Units Layout, Vittal Rao Nagar, Madhapur, Hyderabad, Telangana 500081",081858 88555,,4.8,44,"C9PM+4F Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,WorkOPlace,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=WorkOPlace&per_page=5,,,,,,,,,,,,
Nest Vault Coworking space,Jubilee Hills,coworking space,https://www.google.com/maps/place/Nest+Vault+Coworking+space/data=!4m7!3m6!1s0x3bcb9177b8e748bf:0x65432d6fc2820c1e!8m2!3d17.4353397!4d78.4014406!16s%2Fg%2F11w4446209!19sChIJv0jnuHeRyzsRHgyCwm8tQ2U?authuser=0&hl=en&rclk=1,"H.No 8, No:36 Pillar No:1680, 2-293/82/a/787, Road, Jubilee Hills, Hyderabad, Telangana 500033",091426 96666,,4.8,4,"CCP2+4H Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Nest Vault Coworking space,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Nest+Vault+Coworking+space&per_page=5,,,,,,,,,,,,
QHub,Jubilee Hills,coworking space,https://www.google.com/maps/place/QHub/data=!4m7!3m6!1s0x3bcb9104e126e10d:0x785ca2c67313cde8!8m2!3d17.437438!4d78.400012!16s%2Fg%2F11h71hbf_y!19sChIJDeEm4QSRyzsR6M0Tc8aiXHg?authuser=0&hl=en&rclk=1,"Petrol Station, Madhapur Metro Station, Road No 36 & 37, beside Madhapur, Jubilee Hills, Telangana 500033",,https://qhub.co.in,4.4,67,"CCP2+X2 Jubilee Hills, Hyderabad, Telangana",· Opens 9:30 am; Wednesday 9:30 am–7:30 pm; Thursday 9:30 am–7:30 pm; Friday 9:30 am–7:30 pm; Saturday 9:30 am–7:30 pm; Monday 9:30 am–7:30 pm; Tuesday 9:30 am–7:30 pm,,,,Qhub - Coworking Office Space | Business Center | Plug and Play Offices Lease in Madhapur Hyderabad,A new age company needs more than just an address for co-working. It needs an inspiring space where people and ideas connect to create a community of corporate users and individuals for highly functional and efficient business.,info@qhub.co.in,+91-7680952323,,https://www.facebook.com/tr,https://twitter.com/QHUBcoworking,https://www.instagram.com/qhub.workspace,,,https://qhub.co.in/contact.html,https://qhub.co.in/culture.html,,,,,,,,2026-07-01T01:42:59.454149,QHub,Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=QHub&per_page=5,Green Sandpiper,,,,,,,,,,,
RENT A DESK - Hitec City,Jubilee Hills,coworking space,https://www.google.com/maps/place/RENT+A+DESK+-+Hitec+City/data=!4m7!3m6!1s0x3bcb915fef8e50af:0x57cd8153f2a67af7!8m2!3d17.4446061!4d78.3851118!16s%2Fg%2F11gfk0h0f2!19sChIJr1CO71-RyzsR93qm8lOBzVc?authuser=0&hl=en&rclk=1,"RAM SVR, Plot No 4/2, Madhapur, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081",098854 21400,https://www.rentadesk.in/,4.3,377,"C9VP+R2 Hyderabad, Telangana",,,,,"Rent A Desk offers Coworking spaces, shared office spaces and meeting rooms for rent in a range of flexible month-to-month membership plans",We are building a home to nurture your imagination. We provide you with a space that lets you be as snug as a bug in a rug while you hustle to achieve your goals.,info@rentadesk.in,,,https://www.facebook.com/WowHyderabadMagazine/photos/a.235443513156540/1302434709790743,,https://www.instagram.com/rentadesk.in,,,https://rentadesk.in/contact-us,https://www.rentadesk.in/#workspace,,,WordPress,2017,,,,2026-07-01T01:42:59.454149,RENT A DESK - Hitec City,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=RENT+A+DESK+-+Hitec+City&per_page=5,,,,,,,,,,,,
Workafella Banjara Hills - Coworking Space in Hyderabad,Jubilee Hills,coworking space,https://www.google.com/maps/place/Workafella+Banjara+Hills+-+Coworking+Space+in+Hyderabad/data=!4m7!3m6!1s0x3bcb97f75b7a1085:0xe0de3f51c8b60317!8m2!3d17.41708!4d78.4516017!16s%2Fg%2F11sgn0cc3j!19sChIJhRB6W_eXyzsRFwO2yFE_3uA?authuser=0&hl=en&rclk=1,"6-3-252/2 , Sri Ram Nest , Mega City, Irram Manzil Colony, Banjara Hills, Hyderabad, Telangana 500082",,,4.5,639,"CF82+RJ Hyderabad, Telangana",· Opens 9:30 am,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Workafella Banjara Hills - Coworking Space in Hyderabad,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Workafella+Banjara+Hills+-+Coworking+Space+in+Hyderabad&per_page=5,,,,,,,,,,,,
36 Pinnacle,Jubilee Hills,business center,https://www.google.com/maps/place/36+Pinnacle/data=!4m7!3m6!1s0x3bcb9133efa8d9d1:0xe41e94d815fad25d!8m2!3d17.4286981!4d78.4136025!16s%2Fg%2F11c5bkfqq7!19sChIJ0dmo7zORyzsRXdL6FdiUHuQ?authuser=0&hl=en&rclk=1,"8, Road No. 36, Jawahar Colony, Jubilee Hills, Hyderabad, Telangana 500033",,,3.8,77,"CCH7+FC Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,36 Pinnacle,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=36+Pinnacle&per_page=5,,,,,,,,,,,,
"D1, Spaces and More Business Centre",Jubilee Hills,business center,"https://www.google.com/maps/place/D1,+Spaces+and+More+Business+Centre/data=!4m7!3m6!1s0x3bcb9146108f1fa1:0x919db184c870559a!8m2!3d17.4355258!4d78.4022028!16s%2Fg%2F11lzfr9tgm!19sChIJoR-PEEaRyzsRmlVwyISxnZE?authuser=0&hl=en&rclk=1","Plot No:645, Road No. 36, Aditya Enclave, Venkatagiri, Jubilee Hills, Hyderabad, Telangana 500033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,"D1, Spaces and More Business Centre",,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=D1%2C+Spaces+and+More+Business+Centre&per_page=5,,,,,,,,,,,,
Gateway jubilee,Jubilee Hills,business center,https://www.google.com/maps/place/Gateway+jubilee/data=!4m7!3m6!1s0x3bcb9198f2bb18bf:0x5e161868ddf70e4!8m2!3d17.4242631!4d78.4307464!16s%2Fg%2F11hzmt5pmy!19sChIJvxi78piRyzsR5HDfjYZh4QU?authuser=0&hl=en&rclk=1,"Pratap & Co Law Firm, 1267, BNR Colony, Venkat Nagar, Jubilee Hills, Hyderabad, Telangana 500034",,,4.0,3,"CCFJ+P7 Hyderabad, Telangana",· Opens 9:30 am,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Gateway jubilee,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Gateway+jubilee&per_page=5,,,,,,,,,,,,
NEXUS BUSINESS CENTRE,Jubilee Hills,business center,https://www.google.com/maps/place/NEXUS+BUSINESS+CENTRE/data=!4m7!3m6!1s0x3bcb911298f93d07:0x6176a920610553a7!8m2!3d17.4516057!4d78.3918014!16s%2Fg%2F11h0t9d3zt!19sChIJBz35mBKRyzsRp1MFYSCpdmE?authuser=0&hl=en&rclk=1,"SBH Officers Colony, Mega Hills, Madhapur, Hyderabad, Telangana 500081",099493 79073,,4.5,30,"F92R+JP Hyderabad, Telangana",,,https://www.google.com/maps/place/NEXUS+BUSINESS+CENTRE/data=!4m7!3m6!1s0x3bcb911298f93d07:0x6176a920610553a7!8m2!3d17.4516057!4d78.3918014!16s%2Fg%2F11h0t9d3zt!19sChIJBz35mBKRyzsRp1MFYSCpdmE?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,NEXUS BUSINESS CENTRE,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=NEXUS+BUSINESS+CENTRE&per_page=5,,,,,,,,,,,,
SL Jublee Complex,Jubilee Hills,business center,https://www.google.com/maps/place/SL+Jublee+Complex/data=!4m7!3m6!1s0x3bcb9136826c8abf:0x6690938fda644300!8m2!3d17.4292322!4d78.4100129!16s%2Fg%2F11c1pgrzfw!19sChIJv4psgjaRyzsRAENk2o-TkGY?authuser=0&hl=en&rclk=1,"1202, Road No. 36, Jubilee Hills, Hyderabad, Telangana 500033",,,4.2,825,"CCH6+M2 Hyderabad, Telangana",· Opens 9:30 am,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,SL Jublee Complex,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=SL+Jublee+Complex&per_page=5,,,,,,,,,,,,
"WE Hub, Govt. of Telangana",Jubilee Hills,business center,"https://www.google.com/maps/place/WE+Hub,+Govt.+of+Telangana/data=!4m7!3m6!1s0x3bcb910437b15f4d:0x84bb7abe43aa1578!8m2!3d17.432672!4d78.3935623!16s%2Fg%2F11fj_w98kt!19sChIJTV-xNwSRyzsReBWqQ756u4Q?authuser=0&hl=en&rclk=1","Dr. B.R. Ambedkar Open University T-SAT Network premises, Road No. 45 Jubilee Hills, Masthan Nagar, Jubilee Hills, Hyderabad, Telangana 500033",,https://wehub.telangana.gov.in,4.4,47,"C9MV+3C Hyderabad, Telangana",,,,,WE HUB – Women Entrepreneurs Hub by Government of Telangana,India’s First State-led Nodal Organization for Women Entrepreneurs,info@wehub.org.in,,,,https://x.com/Wehubhyderabad,https://www.instagram.com/wehubhyderabad,https://www.youtube.com/@WEHubHyderabad,,https://wehub.telangana.gov.in/contact-us,https://wehub.telangana.gov.in/about-us,,https://wehub.telangana.gov.in/sie-newsletter,WordPress,,,,,2026-07-01T01:42:59.454149,"WE Hub, Govt. of Telangana",,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=WE+Hub%2C+Govt.+of+Telangana&per_page=5,,,,,,,,,,,,
Aarka Prime,Jubilee Hills,business center,https://www.google.com/maps/place/Aarka+Prime/data=!4m7!3m6!1s0x3bcb914889289279:0x93dedc3cef28670d!8m2!3d17.4338823!4d78.4037631!16s%2Fg%2F11g6b3l3t5!19sChIJeZIoiUiRyzsRDWco7zzc3pM?authuser=0&hl=en&rclk=1,"Hansa Plaza, 798, Road No. 36, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",,,4.3,23,"CCM3+HG Hyderabad, Telangana",· Opens 9:30 am; · Opens 9:30 am,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Aarka Prime,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Aarka+Prime&per_page=5,,,,,,,,,,,,
Phoenix Halcyon,Jubilee Hills,apartments,https://www.google.com/maps/place/Phoenix+Halcyon/data=!4m7!3m6!1s0x3bcb913572cac61b:0xd0a5098ee471206a!8m2!3d17.4169221!4d78.4032788!16s%2Fg%2F1q5bmkr7j!19sChIJG8bKcjWRyzsRaiBx5I4JpdA?authuser=0&hl=en&rclk=1,"Rd. No: 78, near Film Nagar Cultural Center, Whisper Valley, Jubilee Hills, Hyderabad, Telangana 500096",080813 33555,,4.1,32,"CC83+Q8 Hyderabad, Telangana",· Opens 9:30 am; Wednesday 9:30 am–7 pm; Thursday 9:30 am–7 pm; Friday 9:30 am–7 pm; Saturday 9:30 am–7 pm; Sunday 9:30 am–7 pm; Monday 9:30 am–7 pm; Tuesday 9:30 am–7 pm,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Phoenix Halcyon,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Phoenix+Halcyon&per_page=5,,,,,,,,,,,,
BedChambers Serviced Apartments - Jubilee Hills,Jubilee Hills,apartments,https://www.google.com/maps/place/BedChambers+Serviced+Apartments+-+Jubilee+Hills/data=!4m10!3m9!1s0x3bcb97a4b2f36f63:0x2ac243e3f2c130a5!5m2!4m1!1i2!8m2!3d17.4209445!4d78.4102964!16s%2Fg%2F11s56ssykr!19sChIJY2_zsqSXyzsRpTDB8uNDwio?authuser=0&hl=en&rclk=1,"A125, Journalist Colony Rd, Navanirman Nagar Colony, Jubilee Hills, Hyderabad, Telangana 500096",085888 88655,,4.6,241,"CCC6+94 Hyderabad, Telangana",Check-in time: 2:00 pm; Check-out time: 10:00 am,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,BedChambers Serviced Apartments - Jubilee Hills,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=BedChambers+Serviced+Apartments+-+Jubilee+Hills&per_page=5,,,,,,,,,,,,
Google Maps,Jubilee Hills,apartments,"https://www.google.com/maps/place/SKYLA+Studios+%26+Suites,+Jubilee+Hills/data=!4m10!3m9!1s0x3bcb91a8bd8f102d:0x5986ced84e04fb94!5m2!4m1!1i2!8m2!3d17.4326099!4d78.4010272!16s%2Fg%2F11h03g73g_!19sChIJLRCPvaiRyzsRlPsETtjOhlk?authuser=0&hl=en&rclk=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Google Maps,Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Google+Maps&per_page=5,Q12013,,United States,,,,https://www.google.com/maps,,,,Mountain View,
Woods Apartments,Jubilee Hills,apartments,https://www.google.com/maps/place/Woods+Apartments/data=!4m7!3m6!1s0x3bcb914c91b64879:0x4dd91bc9cf1a52b8!8m2!3d17.4252858!4d78.4006118!16s%2Fg%2F11dx9wy7lf!19sChIJeUi2kUyRyzsRuFIaz8kb2U0?authuser=0&hl=en&rclk=1,"1A, Road No.70, Guru Brama Nagar, HUDA Enclave, Jubilee Hills, Hyderabad, Telangana 500033",,,4.2,191,"CCG2+46 Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Woods Apartments,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Woods+Apartments&per_page=5,,,,,,,,,,,,
Walk In The Sky,Jubilee Hills,apartments,https://www.google.com/maps/place/Walk+In+The+Sky/data=!4m7!3m6!1s0x3bcb914ccca1dae5:0x85c21db3f04ed6a1!8m2!3d17.4230968!4d78.3995921!16s%2Fg%2F11b77kw15n!19sChIJ5dqhzEyRyzsRodZO8LMdwoU?authuser=0&hl=en&rclk=1,"Plot no 13, Near, Road No.70, HUDA Enclave, Jubilee Hills, Hyderabad, Telangana 500110",,,4.4,44,"C9FX+6R Hyderabad, Telangana",,,,,,,,,,,,,,,,,,,,,,,,2026-07-01T01:42:59.454149,Walk In The Sky,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Walk+In+The+Sky&per_page=5,,,,,,,,,,,,
